adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/tkLZ2HF02dktq3oUZy1bvX0Q9rB.jpg,"c(18, 10749, 10770)",421624,en,Love You Like Christmas,"Maddie, a high-powered marketing executive, is on her way to a client’s wedding but her plans are derailed by car trouble. When a fork in the road leads her to Christmas Valley, a town in love with Christmas, an unexpected encounter and a group of strangers that start to feel like family will have her questioning what she’s really been missing in life.",7.377,/3GwTYscLzIVimiLAlnEPSZS3mpf.jpg,2016-12-11,Love You Like Christmas,FALSE,6.3,48
FALSE,/As0eyHzF4dGhSBsVHAX8nLZxzCe.jpg,"c(18, 10749, 10770)",555277,en,Small Town Christmas,"Author Nell Phillips’ first book has become a surprise best-seller of the Christmas season. Nell’s last stop on a nationwide book tour takes her to the town of Springdale, the hometown of Emmett Turner, a young man she met over five years ago while both were junior copy editors at a New York publishing company. Nell was hurt when Emmett stood her up for a dinner date and then disappeared from New York without any explanation. As Nell is quick to admit, Emmett’s colorful, nostalgic anecdotes about Springdale inspired her to write this book that is shaping her life and especially this holiday season.",6.269,/1ofOSade5htAKST44j1q8oXqOFv.jpg,2018-12-22,Small Town Christmas,FALSE,6.6,49
FALSE,/xQzJNxkWtbtCvLKkq7Hjyw38G8E.jpg,"c(18, 10749, 10770)",744949,en,The Santa Squad,"Allie, an out of work art teacher, has to accept a job with the Santa Squad to help wealthy widower Gordon and his two precious daughters rediscover the magic of Christmas. As Allie is lifting the holiday spirits of the family with Christmas decorations, cookies and shopping, her kindness is rewarded with the most unexpected of gifts: love!",7.353,/tEl9MFJnZjwVn0MsZMpJ6xvk0h2.jpg,2020-12-07,The Santa Squad,FALSE,5.8,26
FALSE,/boSXlFQyEIFEcS3hDOla7mIPKXt.jpg,"c(10770, 10749, 18, 35)",421759,en,Broadcasting Christmas,"When the opportunity to co-host a talk show with the fabulous talk show diva Veronika presents itself two weeks before Christmas, Emily thinks this is her big break. To her surprise, she discovers she has stiff competition with Charlie, the local TV anchor who is her near equal on another station. With such interest and support for both reporters, a contest is created: for the two weeks leading up to Christmas, who can cover the best and most meaningful Christmas stories on the local news?",7.08,/ptv35iECZ2jwHZQi2x6byrUHpoi.jpg,2016-11-23,Broadcasting Christmas,FALSE,5.8,68
FALSE,/bPpHu2NmgmqeZDaNk2xFJehL0CB.jpg,"c(10770, 35, 18, 10749)",7088,en,Christmas in Boston,Gina and Seth have been pen pals for 13 years and now will have the chance to meet. Both used their best friends pictures to send to each other and now will let their friends meet. True love is found in the end for all.,4.051,/nbXA4VmieyBUio1YWZFaiMonGY5.jpg,2005-12-14,Christmas in Boston,FALSE,5.8,59
FALSE,/wErZklS61jzK1tNqST70d0Fa1FH.jpg,"c(10749, 10770)",746463,en,A Little Christmas Charm,"Holly, a jewelry designer finds a lost charm bracelet and teams up with investigative reporter Greg in hopes of finding the owner and returning it by Christmas Eve.",5.412,/jt1wNBJ4RffAH46RmduatD3OUML.jpg,2020-12-06,A Little Christmas Charm,FALSE,6.9,29
FALSE,/uH2BctMzppWQn8JDk1Vx2CllMG3.jpg,"c(10749, 35, 10770)",420967,en,Girlfriends of Christmas Past,"When three hilarious, strong-willed women join forces to seek the ultimate revenge on their cheating ex at his upcoming holiday retreat, love struck event planner Livvy meets Carter, the property manager organizing it all, leaving Livvy to question if she can leave off their revenge scheme long enough to finally forgive her ex and let a real holiday romance blossom.",4.145,/9lROVsoDycdPwfmD2hVDNkaChxj.jpg,2016-10-25,Girlfriends of Christmas Past,FALSE,5,29
FALSE,/561MNVX34MCadXsuLTOwxc3jRGt.jpg,"c(10749, 10770)",489755,en,Christmas Solo,"Two single parents stumble into the possibility of love for Christmas, only to discover that their daughters are embroiled in a nasty rivalry at school. When the rivalry gets out of control, can hope and healing lead everyone to a peaceful and merry Christmas?",7.165,/eTi13Vuqqfc135tUkc7BBDjotq5.jpg,2017-11-28,Christmas Solo,FALSE,6.2,29
FALSE,/1W7dcVP217NES85DbSD7BHxJkPd.jpg,"c(10770, 10749)",363476,en,Charming Christmas,"Meredith Rossman has made Rossman's Department store her entire life, not leaving any time for Christmas or romance.  But when she is roped into donning the store's antique Mrs. Claus outfit to play Mrs. Claus at Rossman's famous Santaville, her life takes some unexpected turns. Through the help of the suit and the charming store Santa, Nick, Meredith rekindles her love of Christmas, the store, their employees and possibly even begins a new love with Nick.",4.742,/nn6A2ZVEcldAr02AYNwqgAr3GBp.jpg,2015-11-08,Charming Christmas,FALSE,5.6,49
FALSE,/7mwEPV5V5TI2XNqrZFD2YjmSAJU.jpg,"c(35, 10751, 10749, 10770)",403400,en,A Perfect Christmas,"Steve and Cynthia are a newlywed couple celebrating their first Christmas together. They invite their families to join them for the holidays, but when Steve is laid off just before Christmas and Cynthia discovers she's pregnant, they both keep their news secret in hopes that the celebration runs smoothly.",4.972,/bsMoah6BOPoygMY3lHn3raSjMLy.jpg,2016-07-16,A Perfect Christmas,FALSE,5.4,40
